ID,Returned,Time,Treatment,Temperature,Run,Notes,,,,
A2.25,yes,7,control,87,Aug22,,,,,
A2.26,yes,18,control,87,Aug22,,,,,
A2.27,yes,30,control,87,Aug22,,,,,
A2.28,yes,31,control,87,Aug22,,,,,
A2.29,yes,35,control,87,Aug22,,,,Average temperature,Standard deviation
A2.30,yes,97,control,87,Aug22,counted as no b/c longer than 60 minutes,,August 2022,97.57608696,5.728727868
A2.31,no,NA,control,87,Aug22,,,October 2021,81.12030075,7.066821318
A2.32,no,NA,control,87,Aug22,,,October 2022,77.52459016,6.473356857
A2.33,no,NA,control,87,Aug22,,,,,
A3.11,yes,12,control,89,Aug22,,,,,
A3.12,yes,66,control,89,Aug22,counted as no b/c longer than 60 minutes,,,,
A3.13,no,NA,control,89,Aug22,,,,,
A3.14,no,NA,control,89,Aug22,,,,,
A2.1,yes,52,control,96,Aug22,,,,,
A2.2,yes,54,control,96,Aug22,,,,,
A2.3,yes,91,control,96,Aug22,counted as no b/c longer than 60 minutes,,,,
A2.4,yes,148,control,96,Aug22,counted as no b/c longer than 60 minutes,,,,
A2.5,no,NA,control,96,Aug22,,,,,
A2.6,no,NA,control,96,Aug22,,,,,
A2.7,no,NA,control,96,Aug22,,,,,
A2.8,no,NA,control,96,Aug22,,,,,
A2.9,no,NA,control,96,Aug22,,,,,
A3.1,yes,28,control,100,Aug22,,,,,
A3.2,yes,72,control,100,Aug22,counted as no b/c longer than 60 minutes,,,,
A3.3,no,NA,control,100,Aug22,,,,,
A3.4,no,NA,control,100,Aug22,,,,,
A6.17,no,NA,control,100,Aug22,,,,,
A6.18,no,NA,control,100,Aug22,,,,,
A6.19,no,NA,control,100,Aug22,,,,,
A6.20,no,NA,control,100,Aug22,,,,,
A2.11,yes,23,control,101,Aug22,,,,,
A2.12,yes,58,control,101,Aug22,,,,,
A2.13,no,NA,control,101,Aug22,,,,,
A2.14,no,NA,control,101,Aug22,,,,,
A2.15,no,NA,control,101,Aug22,,,,,
A2.16,no,NA,control,101,Aug22,,,,,
A2.17,no,NA,control,101,Aug22,,,,,
A2.18,no,NA,control,101,Aug22,,,,,
A6.1,no,NA,control,102,Aug22,,,,,
A6.2,no,NA,control,102,Aug22,,,,,
A6.3,no,NA,control,102,Aug22,,,,,
A3.6,no,NA,control,103,Aug22,,,,,
A3.7,no,NA,control,103,Aug22,,,,,
A3.8,no,NA,control,103,Aug22,,,,,
